Pays_représenté,LAT
Guinée Bissau,11.815215
Guinée Equatoriale,1.613172
Israel,30.924740589274734
Italie,44.76331258363733
Kenya,0.500703106729087
Libéria,5.7499721
Malawi,-13.4158143465313
Mali,18.70905751000089
Maroc,31.1728205
Mexique,23.6585116
Namibie,-23.2335499
Niger,17.447040089977556
Nigeria,9.538562548261293
Pays-Bas,52.2434979
Pologne,52.215933
Portugal,40.34314516425722
RD Congo,-2.9814344
Roumanie,45.9852129
Senegal,15.216468796601673
Serbie,44.24035598558577
Sierra Leone,8.62528724443455
Soudan,14.5844444
Togo,8.84221135178744
Tunisie,33.8439408
Uruguay,-32.956747257976126
Zambie,-14.5189121
Zimbabwe,-18.92141441288913
